run_date,tester,build,platform,device,os_version,locale,orientation,scenario_id,area,status,severity,expected,actual,evidence_path,issue_id,notes
2026-02-18,Codex QA Automation,efb0623,iOS,iPhone 13 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,NAV-01,Navigation,pass,,All tabs open to correct views,Live smoke passed 12/12 nav checks on iphone13,scripts/qa/results/live/qa_report.json,,Automated live smoke
2026-02-18,Codex QA Automation,efb0623,Android,Pixel 7 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,NAV-01,Navigation,pass,,All tabs open to correct views,Live smoke passed 12/12 nav checks on pixel7,scripts/qa/results/live/qa_report.json,,Automated live smoke
2026-02-18,Codex QA Automation,efb0623,iOS,iPhone 13 (emulated),n/a (Playwright Chromium),en->ar-EG,portrait,L10N-01,Localization,pass,,Language switch updates labels and direction,Live smoke language toggle passed and detected locale=ar,scripts/qa/results/live/qa_report.json,,Automated live smoke
2026-02-18,Codex QA Automation,efb0623,Android,Pixel 7 (emulated),n/a (Playwright Chromium),en->ar-EG,portrait,L10N-01,Localization,pass,,Language switch updates labels and direction,Live smoke language toggle passed and detected locale=ar,scripts/qa/results/live/qa_report.json,,Automated live smoke
2026-02-18,Codex QA Automation,efb0623,iOS,iPhone 13 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,SCR-01,Scroll/Layout,pass,,Long pages scroll vertically and remain usable,Live smoke passed scroll/overflow checks (no horizontal overflow),scripts/qa/results/live/qa_report.json,,Automated live smoke
2026-02-18,Codex QA Automation,efb0623,Android,Pixel 7 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,SCR-01,Scroll/Layout,pass,,Long pages scroll vertically and remain usable,Live smoke passed scroll/overflow checks (no horizontal overflow),scripts/qa/results/live/qa_report.json,,Automated live smoke
2026-02-18,Codex QA Automation,efb0623,iOS,iPhone 13 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,NAV-01,Navigation,pass,,All tabs open to correct views,Local smoke passed 12/12 nav checks on iphone13,scripts/qa/results/local/qa_report.json,,Automated local smoke
2026-02-18,Codex QA Automation,efb0623,Android,Pixel 7 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,NAV-01,Navigation,pass,,All tabs open to correct views,Local smoke passed 12/12 nav checks on pixel7,scripts/qa/results/local/qa_report.json,,Automated local smoke
2026-02-18,Codex QA Automation,efb0623,iOS,iPhone 13 (emulated),n/a (Playwright Chromium),en->ar-EG,portrait,L10N-01,Localization,pass,,Language switch updates labels and direction,Local smoke language toggle passed and detected locale=ar,scripts/qa/results/local/qa_report.json,,Automated local smoke
2026-02-18,Codex QA Automation,efb0623,Android,Pixel 7 (emulated),n/a (Playwright Chromium),en->ar-EG,portrait,L10N-01,Localization,pass,,Language switch updates labels and direction,Local smoke language toggle passed and detected locale=ar,scripts/qa/results/local/qa_report.json,,Automated local smoke
2026-02-18,Codex QA Automation,efb0623,iOS,iPhone 13 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,SCR-01,Scroll/Layout,pass,,Long pages scroll vertically and remain usable,Local smoke passed scroll/overflow checks (no horizontal overflow),scripts/qa/results/local/qa_report.json,,Automated local smoke
2026-02-18,Codex QA Automation,efb0623,Android,Pixel 7 (emulated),n/a (Playwright Chromium),en+ar-EG,portrait,SCR-01,Scroll/Layout,pass,,Long pages scroll vertically and remain usable,Local smoke passed scroll/overflow checks (no horizontal overflow),scripts/qa/results/local/qa_report.json,,Automated local smoke
